id,name,weight,height,experience,active,status,position,age,team,stats_log,url
4686422,Xavier Hutchinson,210.0,75.0,2,True,Active,1,24.0,34,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4686422?lang=en&region=us
4692590,Jalin Hyatt,185.0,72.0,2,True,Active,1,23.0,19,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4692590?lang=en&region=us
3039968,Ishmael Hyman,196.0,72.0,1,True,FA,1,29.0,9,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3039968?lang=en&region=us
14269,Dontrelle Inman,205.0,75.0,7,True,FA,1,35.0,28,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/14269?lang=en&region=us
4368003,Andrei Iosivas,205.0,75.0,2,True,Active,1,25.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4368003?lang=en&region=us
3931391,Trenton Irwin,200.0,74.0,5,True,Active,1,28.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3931391?lang=en&region=us
3914328,Andy Isabella,188.0,69.0,5,True,FA,1,27.0,2,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3914328?lang=en&region=us
3123992,Steve Ishmael,212.0,74.0,1,True,FA,1,29.0,11,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3123992?lang=en&region=us
4036831,Keith Ismael,310.0,75.0,4,True,Practice Squad,4,26.0,22,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4036831?lang=en&region=us
3909300,Thomas Ives,218.0,76.0,1,True,FA,1,27.0,3,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3909300?lang=en&region=us
2975813,Blake Jackson,200.0,70.0,1,True,FA,1,30.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2975813?lang=en&region=us
4373470,Calvin Jackson,194.0,70.0,0,True,FA,1,27.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4373470?lang=en&region=us
