id,name,abbreviation,week,year,home,away,url,pbp_url
401671618,Jets v Patriots,NYJ v NE,8,2024,17,20,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671618,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671618/competitions/401671618/plays?limit=300
401671707,Packers v Jaguars,GB v JAX,8,2024,30,9,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671707,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671707/competitions/401671707/plays?limit=300
401671750,Saints v Chargers,NO v LAC,8,2024,24,18,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671750,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671750/competitions/401671750/plays?limit=300
401671760,Bills v Seahawks,BUF v SEA,8,2024,26,2,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671760,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671760/competitions/401671760/plays?limit=300
401671600,Panthers v Broncos,CAR v DEN,8,2024,7,29,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671600,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671600/competitions/401671600/plays?limit=300
401671671,Chiefs v Raiders,KC v LV,8,2024,13,12,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671671,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671671/competitions/401671671/plays?limit=300
401671599,Bears v Commanders,CHI v WSH,8,2024,28,3,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671599,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671599/competitions/401671599/plays?limit=300
401671685,Giants v Steelers,NYG v PIT,8,2024,23,19,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671685,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671685/competitions/401671685/plays?limit=300
401671809,Texans v Jets,HOU v NYJ,9,2024,20,34,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671809,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671809/competitions/401671809/plays?limit=300
401671728,Cowboys v Falcons,DAL v ATL,9,2024,1,6,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671728,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671728/competitions/401671728/plays?limit=300
401671493,Dolphins v Bills,MIA v BUF,9,2024,2,15,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671493,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671493/competitions/401671493/plays?limit=300
401671629,Chargers v Browns,LAC v CLE,9,2024,5,24,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671629,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671629/competitions/401671629/plays?limit=300
401671822,Patriots v Titans,NE v TEN,9,2024,10,17,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671822,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671822/competitions/401671822/plays?limit=300
